Date,Type,Distance,Duration,Weight,AvgHR,MaxHR,Temperature,OverallPlace,FieldSize,Course,Pace
2014-08-16,Default,4,00:27:36,NA,NA,NA,NA,NA,NA,NA,00:06:54
2014-11-02,Default,7.77,00:52:58,NA,NA,NA,12,NA,NA,NA,00:06:49
2015-01-02,Default,3.82,00:32:51,105.5,NA,NA,5,NA,NA,NA,00:08:36
2015-01-07,Default,6.19,00:38:30,NA,103,137,11,NA,NA,NA,00:06:13
2015-06-02,Easy,6.65,00:42:00,NA,NA,NA,17,NA,NA,NA,00:06:19
2015-06-15,Easy,8.07,00:50:39,NA,100,146,20,NA,NA,NA,00:06:17
2015-06-17,Easy,5.51,00:33:40,NA,94,149,26,NA,NA,NA,00:06:07
2015-06-22,Easy,8.5,00:48:51,103.1,102,145,20,NA,NA,NA,00:05:45
2015-06-25,Easy,8.58,00:49:57,NA,103,162,17,NA,NA,NA,00:05:49
2015-06-28,Easy,1.41,00:09:30,NA,116,139,19,NA,NA,NA,00:06:44
2015-06-28,Race,6.35,00:34:34,102.9,92,129,23,383,463,Carreira Popular Vila de Redondela,00:05:27
2015-07-02,Easy,6.13,00:36:00,102.8,NA,NA,19,NA,NA,Vuelta Travesía Aragón,00:05:52
2015-07-06,Easy,7.37,00:45:51,102.3,103,220,19,NA,NA,Travesía-Barreiro-Aragon,00:06:13
2015-07-11,Race,7.4,00:41:57,100.9,108,170,25,124,137,Carreira Popular de Tomiño,00:05:40
2015-07-20,Easy,8.13,00:48:36,99.3,107,186,21,NA,NA,NA,00:05:59
2015-08-29,Default,8.25,00:50:46,NA,107,131,18,NA,NA,NA,00:06:09
2016-03-03,Default,6.15,00:39:19,NA,121,160,NA,NA,NA,NA,00:06:24
